## evidence manifest refresh check
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:2: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:2: stale digest for docs/check-tiers.md: expected 0da03bf9ab32545c1d30c1d6ff391da9ef3b563815a742f84a4456a59b314c1a, found 1b56e718059160d9583ba7b41e7f9ec61a5c23f069ad61b1b4210c86e2334c56
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:3: stale digest for tools/check_check_tiers.rs: expected 4ab750a7e317c407ddf877085a9b07ce51d1ab8e7ec95f3e451cbff58814f5ff, found 69adf675d38d036feb505f20d6ff0af70ba064df74bd8e6d85108ed7fb518472
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:2: stale digest for tools/check_layout_boundaries.rs: expected a94a89032e18bb4346723f346ff0574ac58a20d1bfdde811726174ad9b57a242, found 64890753a9b53f2d58e3e0b64fcd09d9134597673d5cd91edd49923b85a0ced6
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:3: stale digest for docs/layout-checklist.md: expected 5b4b0f3d452e9ec1a0538bcac25e939e01a8400080bf350d91da602f04f12685, found 990de4ef225df26f9ef39a56219986824a9f041412a2ebddbd8910efbd167ce0
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:12: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:3: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:15: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:15: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/mcp-controlled-compat-rail-live-2026-05-31.b3:13: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/movement-packet-family-2026-06-06.b3:31: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/nix-run-valence-stevenarella-2026-05-30.b3:3: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-adversarial-network-oracle-checker-2026-05-29.b3:2: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-checker-2026-05-29.b3:2: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:34: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:17: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:17: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:22: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-2026-06-01.b3:14: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:24: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-spawn-team-balance-reset-2026-06-01.b3:14: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-checker-2026-05-29.b3:2: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:13: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-python-gate-rust-migration-2026-05-31.b3:11: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-red-blue-scoring-soak-live-refresh-2026-05-30.b3:20: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-survival-crafting-table-progress-2026-05-30.b3:7: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:13: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/scenario-manifest-fallback-budget-2026-06-22.b3:12: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/scoreboard-team-packet-family-2026-06-06.b3:23: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/server-correlation-rail-2026-06-18.b3:17: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/subtree-agent-docs-2026-06-22.b3:3: stale digest for tools/check_layout_boundaries.rs: expected a94a89032e18bb4346723f346ff0574ac58a20d1bfdde811726174ad9b57a242, found 64890753a9b53f2d58e3e0b64fcd09d9134597673d5cd91edd49923b85a0ced6
evidence manifest refresh failed: docs/evidence/subtree-agent-docs-2026-06-22.b3:4: stale digest for docs/layout-checklist.md: expected 5b4b0f3d452e9ec1a0538bcac25e939e01a8400080bf350d91da602f04f12685, found 990de4ef225df26f9ef39a56219986824a9f041412a2ebddbd8910efbd167ce0
evidence manifest refresh failed: docs/evidence/survival-biome-dimension-travel-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-container-block-entity-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-2026-06-20.b3:37: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-breadth-2026-06-21.b3:44: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-mob-ai-loot-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-redstone-circuit-breadth-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-sign-editing-live-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/survival-world-multichunk-durability-2026-06-21.b3:40: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-final-checks-2026-06-06.b3:5: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-focused-checks-2026-06-06.b3:8: stale digest for flake.nix: expected fe3affeee2869652a474774d80e35c78f05997832d7b1356640ef1fef574dafb, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
exit_status=1
