## evidence manifest refresh check after targeted valence-hyperion digest refresh
cwd=/home/brittonr/git/mc
date_utc=2026-06-23T20:22:38Z
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/add-gui-helper-plugin-final-scoped-manifest-check.b3:2: stale digest for docs/evidence/add-gui-helper-plugin/manifest.b3: expected 5d3afd0139ac261476988a0ab6e10de521d1b1f0a0b36de2fbee016fcb82528f, found 53d25cc5f7a0ee2ab68c16a75c03576d6d5ae9da65eb7dc9ee77989edf2dadea
evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:2: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:3: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:4: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:6: stale digest for cairn/specs/repository-layout/spec.md: expected a30bdcb4d7c9dcaaf63254132e49d25cabc7b30c9f655b12d37a5026fcb397ea, found f9446a94c50fdc22b77248f78cd1b6b1e38c023bd11f3442b4b301176cc80485
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:4: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:6: stale digest for docs/architecture.md: expected 96dc7f97822510c62f8a62112776558b2273d317b7b6cdc7a33fb9e61212c961, found f4fdc9baaf3b73a345d8105dc702b1d974d0bd2c97afe9267d21496c58804960
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:7: stale digest for cairn/specs/repository-layout/spec.md: expected a30bdcb4d7c9dcaaf63254132e49d25cabc7b30c9f655b12d37a5026fcb397ea, found f9446a94c50fdc22b77248f78cd1b6b1e38c023bd11f3442b4b301176cc80485
evidence manifest refresh failed: docs/evidence/creative-inventory-live-rail-2026-06-07.b3:1: stale digest for compat/runner/src/scenario_core.rs: expected 0d2d7db63963dd4a918477786cd84a6ada4b5df30865a750e961cf7abd97464f, found fe747b2ee1e9b47b46f4a2162828d7d67d2c24497f5093a483d5ca721438f573
evidence manifest refresh failed: docs/evidence/creative-inventory-live-rail-2026-06-07.b3:2: stale digest for tools/check_scenario_manifest.rs: expected 4ac57f712d9fc2f7c49a1afd6401001c2bb145286b21456f82d8fd5b29ab7495, found 64b474ea841f8378c1c2b4b9f6a9f6a18c9248d9b3264bedefecbe49d463ff2a
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:1: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:8: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:10: stale digest for tools/check_scenario_manifest.rs: expected 4ac57f712d9fc2f7c49a1afd6401001c2bb145286b21456f82d8fd5b29ab7495, found 64b474ea841f8378c1c2b4b9f6a9f6a18c9248d9b3264bedefecbe49d463ff2a
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:11: stale digest for docs/evidence/mc-compat-scenario-index.generated.md: expected 0b523e7ff192e8cff923d19d4e07c468d2bfa79a472af5c2768ddaa4d647e8c7, found 9ae1763e53ee3b1d235aa9e2ea66d18d2b6db290c53fabf5d58b47d989b28abf
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:12: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:13: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:3: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:4: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:14: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:15: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:17: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:14: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:15: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:17: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/mcp-controlled-compat-rail-live-2026-05-31.b3:9: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/mcp-controlled-compat-rail-live-2026-05-31.b3:13: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/mcp-controlled-compat-rail-openspec-alignment-oracle-2026-05-31.b3:6: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:1: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:8: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:10: stale digest for docs/evidence/mc-compat-scenario-index.generated.md: expected 0b523e7ff192e8cff923d19d4e07c468d2bfa79a472af5c2768ddaa4d647e8c7, found 9ae1763e53ee3b1d235aa9e2ea66d18d2b6db290c53fabf5d58b47d989b28abf
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:29: stale digest for tools/check_scenario_manifest.rs: expected 4ac57f712d9fc2f7c49a1afd6401001c2bb145286b21456f82d8fd5b29ab7495, found 64b474ea841f8378c1c2b4b9f6a9f6a18c9248d9b3264bedefecbe49d463ff2a
evidence manifest refresh failed: docs/evidence/modularize-compat-runner-core-validation-2026-06-23.b3:2: stale digest for cairn/specs/repository-layout/spec.md: expected a30bdcb4d7c9dcaaf63254132e49d25cabc7b30c9f655b12d37a5026fcb397ea, found ce26cee41509e096d0fe80bebb0f3b7c542de87e3fb987ec79725031d1400a94
evidence manifest refresh failed: docs/evidence/movement-packet-family-2026-06-06.b3:31: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/nix-run-valence-stevenarella-2026-05-30.b3:3: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
