command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:3: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:4: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:2: stale digest for tools/check_layout_boundaries.rs: expected 419ff3958caa8566eff279bb4c642e01197ae0304df98d6faa0be9371895e636, found a94a89032e18bb4346723f346ff0574ac58a20d1bfdde811726174ad9b57a242
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:3: stale digest for docs/layout-checklist.md: expected 07a1e08c67330da1219a95b9a35db1a680919361ad123ef0530cea4baa3a34aa, found 5b4b0f3d452e9ec1a0538bcac25e939e01a8400080bf350d91da602f04f12685
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:4: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:6: stale digest for docs/architecture.md: expected a81fbe5208d48b807547c38c2166ad2837a4fa8009f767bbe6766d997482c01a, found 167f49d72b1853a0ea0076458467a1de6711008cc1e16dc7b8255588e37d10bf
evidence manifest refresh failed: docs/evidence/clean-repo-artifact-boundaries-2026-06-23.b3:3: stale digest for docs/evidence/clean-repo-artifact-boundaries-b3sum.run.log: expected 280874df5adb41e8ff438b507f3fd77a25e46d4a0cdfc0915b74805783fc84d2, found d876452e880f95ad65d9c0c3300b5fcfe1271eae4fc9689b312ff18e6798e8a0
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:1: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/death-respawn-invalid-respawn-timing-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/death-respawn-inventory-reset-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/death-respawn-ordinary-death-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/death-respawn-reconnect-during-death-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/death-respawn-repeated-death-safety-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:13: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/full-ctf-correctness-gate-validation-2026-06-01.b3:20: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/full-protocol-763-compatibility-gate-validation-2026-06-01.b3:19: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:4: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-validation-2026-06-01.b3:20: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/harden-mc-compat-harness-coverage-validation-2026-05-31.b3:2: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/inventory-creative-mode-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:14: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/inventory-extra-window-types-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:14: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:1: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/nix-run-valence-stevenarella-2026-05-30.b3:4: stale digest for README.md: expected 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679, found 9c3acc9c336c56b1b620bf54520ff04a187191cc8c56e21be040f4b12990be26
evidence manifest refresh failed: docs/evidence/production-readiness-envelope-validation-2026-06-01.b3:19: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/profile-cache-rate-limiter-validation.b3:1: stale digest for .gitignore: expected c85b0aceb645cd9f8625ae3169ea7fdfba372ca726ebf761595914c981f5b6d7, found 977cccbc47911b214000345d07f1b0d1df0016988f7d4f5e1dc6bd68848d526c
evidence manifest refresh failed: docs/evidence/projectile-travel-collision-parity-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
evidence manifest refresh failed: docs/evidence/projectile-weapon-variants-validation-2026-06-01.b3:18: stale digest for tools/check_cairn_task_evidence.rs: expected 3970c4b21ae25c01724f5ddcdf84c9acbe2b746cccadc5dfe3cfc41402bc4a1f, found 6647c899c5d72ee1f5377250180ffb62619092b5c3103e9c5b83d4332cb4ead1
