command=cargo -Zscript tools/refresh_evidence_manifests.rs --check
cwd=/home/brittonr/git/mc
started_at=2026-07-07T21:55:22-04:00
evidence manifest refresh failed: docs/evidence/add-reusable-tick-run-conditions.implementation.b3:47: stale digest for servers/valence/src/lib.rs: expected a830259d74a5a34e6b2a74e87d6326b42cc6ce57744863ef345e12569c8e1887, found 951402f12665f047a4d894b2783ed698221e56dc8cd323bfecf6604903a86c40
evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:3: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:4: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:5: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/check-tier-taxonomy-2026-06-22.b3:6: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:4: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:5: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/classify-leafish-layout-2026-06-22.b3:7: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/consolidate-checkers-crate-drain-2026-06-23.b3:14: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/crafting-recipe-card-2026-07-01.b3:20: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/crafting-recipe-data-fixture-2026-07-01.b3:17: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/crafting-recipe-selected-matrix-core-2026-07-01.b3:1: stale digest for docs/evidence/crafting-recipe-selected-matrix-core-inventory-2026-07-01.md: expected 8f463b406b3b2ef33f4e846bf759d6f289493c0e4ebdf71b4a133acb24e38e0e, found d77f497584a21f484977ccae4def57afeca3e30412c979445d319b7692f17bbe
evidence manifest refresh failed: docs/evidence/crafting-recipe-selected-matrix-core-2026-07-01.b3:16: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/crafting-recipe-selected-matrix-receipts-2026-07-01.b3:1: stale digest for docs/evidence/crafting-recipe-selected-matrix-receipts-2026-07-01.md: expected 92480f86ccab4098f17aea1b99ba4a788b4c074a128266397f74f0c3f358559a, found 2b6603f5ed9c66e7780ab95e2bf4c22f179d62ea6f443522de79018f9f2625a6
evidence manifest refresh failed: docs/evidence/crafting-recipe-selected-matrix-receipts-2026-07-01.b3:26: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:13: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:4: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/furnace-smelting-card-2026-07-01.b3:16: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-core-2026-07-01.b3:18: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-data-fixture-2026-07-01.b3:22: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-selected-row-receipts-2026-07-01.b3:3: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-valence-runtime-shell-2026-07-01.b3:7: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/furnace-smelting-valence-shell-contract-2026-07-01.b3:7: stale digest for cairn/specs/vanilla-composable-plugins/spec.md: expected 75d77cab8c30396962909486f31d25b11f25ec318070bd576f2969cacfee0004, found 6860e62c6ea8ff1eb3e8bdaf6ba7ad13321f22d7570f72afa1dd35a40f071777
evidence manifest refresh failed: docs/evidence/hyperion-integration-boundaries-2026-06-22.b3:4: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:14: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
evidence manifest refresh failed: docs/evidence/manifests/2026-06-30/modularization-drain.b3:23: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/manifests/2026-07-01/hyperion-checkout-retirement.b3:10: stale digest for AGENTS.md: expected d337b76794e8f7e07481c5e62517541cf1da4566f277b337fdad80e5b3f9ab1d, found 1f771f53aaa53a14ee663a72f0750bba0fcf80d70b8629ace6ba326f0a9bafbf
evidence manifest refresh failed: docs/evidence/manifests/2026-07-01/hyperion-checkout-retirement.b3:18: stale digest for cairn/specs/repository-layout/spec.md: expected 7d7c1ea737777bb10a5e67a634fc0f03bac71e0befc60cc6a7af9fcd009b00b9, found 3e8a548b6dc21af44ec0d86f78668c92ced800d2e53c64a647403e91c88e2052
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:1: stale digest for README.md: expected c5bcc09925aab54b984600ff4ea1ae300f521a87d786789d5e54cae5b884711c, found 02e1b66a137cc932a81ed33d7c85ec7870e60317309267a03a3b53fde7b416aa
