evidence manifest refresh failed: docs/evidence/aggregate-claim-gates-2026-06-01.b3:2: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:12: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/full-survival-compatibility-gate-checker-2026-06-01.b3:3: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:15: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:15: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/mcp-controlled-compat-rail-live-2026-05-31.b3:13: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/movement-packet-family-2026-06-06.b3:31: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/nix-run-valence-stevenarella-2026-05-30.b3:3: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-adversarial-network-oracle-checker-2026-05-29.b3:2: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-checker-2026-05-29.b3:2: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:34: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:17: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:17: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-score-limit-win-condition-2026-05-30.b3:22: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-2026-06-01.b3:14: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:24: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-spawn-team-balance-reset-2026-06-01.b3:14: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-equipment-slot-item-expansion-checker-2026-05-29.b3:2: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:13: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
evidence manifest refresh failed: docs/evidence/protocol-763-python-gate-rust-migration-2026-05-31.b3:11: stale digest for flake.nix: expected 13499d4587c7802f77127a408cd4583e50fbf72c246d68e8318d542526a48f97, found 67df1e6f0a832259b8f620fde5b8b07c9548c61e14ff374c797e028cbaf80220
