command=nix run .#evidence-manifest-refresh -- --check
cwd=/home/brittonr/git/mc
started_at=2026-06-29T06:28:49Z
evidence manifest refresh failed: docs/evidence/add-anticheat-statistics-plugin.b3:20: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/add-cached-chunk-egress-pipeline-2026-06-23.b3:21: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/add-gui-helper-plugin/manifest.b3:41: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/add-hyperion-derived-load-tools.b3:1: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/add-observability-profiling-hooks-2026-06-23.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/add-valence-tick-scheduler-validation.b3:4: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/admin-permission-ergonomics-validation.b3:20: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/audit-entity-metadata-diff-tracking-validation.b3:2: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/evaluate-command-ergonomics-macros-validation-2026-06-23.b3:16: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/extract-hyperion-bot-packet-core.validation.b3:25: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/extract-hyperion-inventory-core.b3:8: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/hyperion-integration-boundaries-2026-06-22.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/introduce-valence-proxy-broadcast-backend-evidence.b3:21: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/paletted-container-optimization.b3:1: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/profile-cache-rate-limiter-validation.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/unify-spatial-raycast-collision-validation.b3:16: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/upstream-byte-backed-protocol-path-validation.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
evidence manifest refresh failed: docs/evidence/valence-packet-compose-api-2026-06-23.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected 3d57a9adcc32ec124328bb2647483a374ec099a40ee01fb1c0295630ffb8c470, found 58c521e0125edea48a9014de42d413906e5cc438f91fecb2604f07ead4230585
finished_at=2026-06-29T06:28:54Z
exit_status=1
