cwd=/home/brittonr/git/mc
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/add-anticheat-statistics-plugin.b3:20: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/add-cached-chunk-egress-pipeline-2026-06-23.b3:21: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/add-gui-helper-plugin/manifest.b3:41: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/add-hyperion-derived-load-tools.b3:1: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/add-observability-profiling-hooks-2026-06-23.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/add-valence-tick-scheduler-validation.b3:4: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/admin-permission-ergonomics-validation.b3:20: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/audit-entity-metadata-diff-tracking-validation.b3:2: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/evaluate-command-ergonomics-macros-validation-2026-06-23.b3:16: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/extract-hyperion-bot-packet-core.validation.b3:25: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/extract-hyperion-inventory-core.b3:8: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/hyperion-integration-boundaries-2026-06-22.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/introduce-valence-proxy-broadcast-backend-evidence.b3:21: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/modularize-hyperion-packet-inspector-ui.b3:2: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/modularize-hyperion-block-loader.b3:1: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/paletted-container-optimization.b3:1: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
evidence manifest refresh failed: docs/evidence/profile-cache-rate-limiter-validation.b3:5: stale digest for cairn/specs/valence-hyperion-integration/spec.md: expected a853f7257f24e32d4ada82e5690cb708f62e2a60e7dc54edf9c8c40415654048, found 6234c3cebc7a0603bbe8231ab65999b4831d3392be563cdc51186d9f18b68697
