command=nix run .#evidence-manifest-refresh -- --check
cwd=/home/brittonr/git/mc
started_at=2026-06-29T05:57:01-04:00
evidence manifest refresh failed: docs/evidence/block-entity-sign-packet-family-2026-06-06.b3:20: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/canonical-evidence-gate-wording-2026-06-19.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/data-drive-scenario-behavior.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/data-drive-stevenarella-protocol-versions.b3:25: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/decouple-mc-compat-runner-shell-validation.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:14: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/extract-client-driver-core-validation.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/extract-stevenarella-login-core.evidence.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/extract-valence-entity-attribute-core.evidence.b3:28: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/introduce-scenario-command-router-2026-06-24.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/introduce-runner-env-patches.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/movement-packet-family-2026-06-06.b3:32: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/projectile-travel-collision-live-rail-2026-06-27.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-validation-2026-05-29.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-broad-coverage-ledger-gate-2026-05-28.b3:12: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:37: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-simultaneous-pickup-capture-race-validation-2026-06-01.b3:38: stale digest for cairn/specs/mc-compatibility/spec.md: expected 7476943334a5482c9080a7dca3b110ec88192d450a1fcada5f601792b0c27a2a, found 2b32205555fd196af840149b29196ec25127cf4ad31c7fe2bc7bbac2d4ce3e6b
