cwd=/home/brittonr/git/mc
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/add-event-loop-phase-system-sets.b3:24: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/add-reusable-tick-run-conditions.implementation.b3:51: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/add-schedule-hygiene-gates.b3:5: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/adopt-bevy-lifecycle-cleanup-patterns-validation.b3:1: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/extract-worldgen-task-orchestration-plugin.implementation.b3:13: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/extract-worldgen-task-orchestration-plugin.validation.b3:26: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/gate-optional-systems-with-bevy-run-conditions-validation.b3:28: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/migrate-fixture-state-to-components.b3:1: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/model-owned-entity-relationships-with-hierarchy-2026-06-26.b3:21: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.closeout.b3:18: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.implementation.b3:11: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/move-worldgen-work-to-bevy-tasks.validation.b3:6: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/promote-remaining-packet-semantics-to-typed-events.b3:25: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
evidence manifest refresh failed: docs/evidence/replace-entity-keyed-state-with-components.b3:1: stale digest for cairn/specs/valence-bevy-ecs/spec.md: expected 9fb9ce030b6047793a75d1ef2c8766de54e1fa5fb04587e7b200e43d853c2fad, found a23f082ec1aca21ead371048b71f3330d1a293b175c0c2fff433243389a99dd9
exit_status=1
