### evidence-manifest-check
+ nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/block-entity-sign-packet-family-2026-06-06.b3:20: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/canonical-evidence-gate-wording-2026-06-19.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/ctf-rule-typed-event-migration-wave-2026-06-22.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/data-drive-scenario-behavior.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/data-drive-stevenarella-protocol-versions.b3:25: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/decouple-mc-compat-runner-shell-validation.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/evidence-manifest-refresh-2026-06-06.b3:14: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/extract-client-driver-core-validation.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/extract-stevenarella-login-core.evidence.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/extract-valence-entity-attribute-core.evidence.b3:28: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/introduce-scenario-command-router-2026-06-24.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/introduce-valence-proxy-broadcast-backend-evidence.b3:26: stale digest for servers/valence/crates/valence_network/src/proxy_broadcast.rs: expected 6042f0ca7c0b0d6f094eb1776cfd5d1fdf4376d7f341abc69effad08190640ae, found 3ad50bbf7f0f8dea53dbe4afe7b278176fc9f6ef78747c8a363b6262b782a3ac
evidence manifest refresh failed: docs/evidence/inventory-drag-transactions-2026-06-06.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/inventory-stack-split-merge-2026-06-05.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/introduce-runner-env-patches.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/modularize-stevenarella-ui-widgets.b3:1: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/modularize-survival-compat-fixture.validation.b3:28: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/modularize-valence-ctf-fixture.validation.b3:50: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/separate-stevenarella-block-registry.b3:31: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/manifests/2026-06-29/split-stevenarella-renderer-core.b3:66: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/mcp-controlled-smoke-typed-event-migration-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/modularize-valence-network-session.b3:1: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
